texto;toxico;num_admir;num_may;num_may_esc;emojis;num_emoji;num_insultos;dir_23ps;score_emoji_tox;emphasize;series_token2;series_token;filtered_words
las chicas del cable es mas que una serie.;0.0;0;0;0.0;;0;0;0;0.0;0.0;las chicas del cable es mas que una serie.;['las', 'chicas', 'del', 'cable', 'es', 'mas', 'que', 'una', 'serie', '.'];['chicas', 'cable', 'mas', 'serie.']
¿radio por cable? ¿de verdad?;0.0;0;0;0.0;;0;0;0;0.0;0.0;¿radio por cable? ¿de verdad?;['¿radio', 'por', 'cable', '?', '¿de', 'verdad', '?'];['¿radio', 'cable?', '¿de', 'verdad?']
es mi cable a tierra no hay dudas;0.0;0;0;0.0;;0;0;0;0.0;0.0;es mi cable a tierra no hay dudas;['es', 'mi', 'cable', 'a', 'tierra', 'no', 'hay', 'dudas'];['cable', 'tierra', 'no', 'dudas']
te refieres a este cable? si es asi el clip tiene;0.0;0;0;0.0;;0;0;1;0.0;1.0;te refieres a este cable? si es asi el clip tiene;['te', 'refieres', 'a', 'este', 'cable', '?', 'si', 'es', 'asi', 'el', 'clip', 'tiene'];['refieres', 'cable?', 'asi', 'clip']
necesitamos, .- espacio en tv x cable o tv abierta que hablen asi de futbol, .- un periodista que no de tantas vueltas con palabras rebuscadas haciendose el super letrado, claro conciso y preciso. .- que suban en redes todo un editorial para poder revisarlo. 👏🏻;0.0;0;0;0.0;👏;1;0;1;0.52;1.0;necesitamos, .- espacio en tv x cable o tv abierta que hablen asi de futbol, .- un periodista que no de tantas vueltas con palabras rebuscadas haciendose el super letrado, claro conciso y preciso. .- que suban en redes todo un editorial para poder revisarlo. 👏🏻;['necesitamos', ',', '.-', 'espacio', 'en', 'tv', 'x', 'cable', 'o', 'tv', 'abierta', 'que', 'hablen', 'asi', 'de', 'futbol', ',', '.-', 'un', 'periodista', 'que', 'no', 'de', 'tantas', 'vueltas', 'con', 'palabras', 'rebuscadas', 'haciendose', 'el', 'super', 'letrado', ',', 'claro', 'conciso', 'y', 'preciso', '.', '.-', 'que', 'suban', 'en', 'redes', 'todo', 'un', 'editorial', 'para', 'poder', 'revisarlo', '.', '👏🏻'];['necesitamos,', '.-', 'espacio', 'tv', 'x', 'cable', 'tv', 'abierta', 'hablen', 'asi', 'futbol,', '.-', 'periodista', 'no', 'tantas', 'vueltas', 'palabras', 'rebuscadas', 'haciendose', 'super', 'letrado,', 'claro', 'conciso', 'preciso.', '.-', 'suban', 'redes', 'editorial', 'poder', 'revisarlo.', '👏🏻']
belleza de museo alli vi la obra de goya;0.0;0;0;0.0;;0;0;0;0.0;0.0;belleza de museo alli vi la obra de goya;['belleza', 'de', 'museo', 'alli', 'vi', 'la', 'obra', 'de', 'goya'];['belleza', 'museo', 'alli', 'vi', 'obra', 'goya']
y quiero ir a un museo.;0.0;0;0;0.0;;0;0;0;0.0;0.0;y quiero ir a un museo.;['y', 'quiero', 'ir', 'a', 'un', 'museo', '.'];['quiero', 'ir', 'museo.']
el aula mañana se convertira en un museo;0.0;0;0;0.0;;0;0;0;0.0;0.0;el aula mañana se convertira en un museo;['el', 'aula', 'mañana', 'se', 'convertira', 'en', 'un', 'museo'];['aula', 'mañana', 'convertira', 'museo']
plantas criadas en botellas de plastico en museo nacional de antropologia (madrid);0.0;0;0;0.0;;0;0;0;0.0;0.0;plantas criadas en botellas de plastico en museo nacional de antropologia (madrid);['plantas', 'criadas', 'en', 'botellas', 'de', 'plastico', 'en', 'museo', 'nacional', 'de', 'antropologia', '(', 'madrid', ')'];['plantas', 'criadas', 'botellas', 'plastico', 'museo', 'nacional', 'antropologia', '(madrid)']
y los gestos del amor, ese dulce museo, esa galeria de figuras de humo.;0.0;0;0;0.0;;0;0;1;0.0;1.0;y los gestos del amor, ese dulce museo, esa galeria de figuras de humo.;['y', 'los', 'gestos', 'del', 'amor', ',', 'ese', 'dulce', 'museo', ',', 'esa', 'galeria', 'de', 'figuras', 'de', 'humo', '.'];['gestos', 'amor,', 'dulce', 'museo,', 'galeria', 'figuras', 'humo.']
quien me lleva al museo?;0.0;0;0;0.0;;0;0;0;0.0;0.0;quien me lleva al museo?;['quien', 'me', 'lleva', 'al', 'museo', '?'];['lleva', 'museo?']
zamora: una empresa madrileña reparara el museo provincial de bellas artes via;0.0;0;0;0.0;;0;0;1;0.0;1.0;zamora: una empresa madrileña reparara el museo provincial de bellas artes via;['zamora', ':', 'una', 'empresa', 'madrileña', 'reparara', 'el', 'museo', 'provincial', 'de', 'bellas', 'artes', 'via'];['zamora:', 'empresa', 'madrileña', 'reparara', 'museo', 'provincial', 'bellas', 'artes', 'via']
me lo imagine ... ese museo es fabuloso , ya fueron al nuevo ?;0.0;0;0;0.0;;0;0;1;0.0;1.0;me lo imagine ... ese museo es fabuloso , ya fueron al nuevo ?;['me', 'lo', 'imagine', '...', 'ese', 'museo', 'es', 'fabuloso', ',', 'ya', 'fueron', 'al', 'nuevo', '?'];['imagine', '...', 'museo', 'fabuloso', ',', 'nuevo', '?']
este tweet merece estar en un museo.;0.0;0;0;0.0;;0;0;1;0.0;1.0;este tweet merece estar en un museo.;['este', 'tweet', 'merece', 'estar', 'en', 'un', 'museo', '.'];['tweet', 'merece', 'museo.']
justificas al museo de exponer lo que no es suyo?;0.0;0;0;0.0;;0;0;1;0.0;1.0;justificas al museo de exponer lo que no es suyo?;['justificas', 'al', 'museo', 'de', 'exponer', 'lo', 'que', 'no', 'es', 'suyo', '?'];['justificas', 'museo', 'exponer', 'no', 'suyo?']
pinacoteca de las mas importantes del mundo...;0.0;0;0;0.0;;0;0;1;0.0;1.0;pinacoteca de las mas importantes del mundo...;['pinacoteca', 'de', 'las', 'mas', 'importantes', 'del', 'mundo', '...'];['pinacoteca', 'mas', 'importantes', 'mundo...']
la casa de alba abre al publico el palacio de liria, la mejor pinacoteca privada de españa;0.0;0;0;0.0;;0;0;0;0.0;0.0;la casa de alba abre al publico el palacio de liria, la mejor pinacoteca privada de españa;['la', 'casa', 'de', 'alba', 'abre', 'al', 'publico', 'el', 'palacio', 'de', 'liria', ',', 'la', 'mejor', 'pinacoteca', 'privada', 'de', 'españa'];['casa', 'alba', 'abre', 'publico', 'palacio', 'liria,', 'mejor', 'pinacoteca', 'privada', 'españa']
el pasado lunes comenzamos las exposiciones de nuestra pinacoteca mitologica a cargo de las alumnas de humanidades de primero de bachillerato pinacoteca comunica oralidad;0.0;0;0;0.0;;0;0;1;0.0;1.0;el pasado lunes comenzamos las exposiciones de nuestra pinacoteca mitologica a cargo de las alumnas de humanidades de primero de bachillerato pinacoteca comunica oralidad;['el', 'pasado', 'lunes', 'comenzamos', 'las', 'exposiciones', 'de', 'nuestra', 'pinacoteca', 'mitologica', 'a', 'cargo', 'de', 'las', 'alumnas', 'de', 'humanidades', 'de', 'primero', 'de', 'bachillerato', 'pinacoteca', 'comunica', 'oralidad'];['pasado', 'lunes', 'comenzamos', 'exposiciones', 'pinacoteca', 'mitologica', 'cargo', 'alumnas', 'humanidades', 'primero', 'bachillerato', 'pinacoteca', 'comunica', 'oralidad']
quiero tu foto para mi pinacoteca;0.0;0;0;0.0;;0;0;0;0.0;0.0;quiero tu foto para mi pinacoteca;['quiero', 'tu', 'foto', 'para', 'mi', 'pinacoteca'];['quiero', 'foto', 'pinacoteca']
el museo del prado cede una obra de rubens al museo de leon dentro del programa ?de gira por españa? que conmemora el bicentenario de la pinacoteca nacional castilla y leon;0.0;0;0;0.0;;0;0;0;0.0;0.0;el museo del prado cede una obra de rubens al museo de leon dentro del programa ?de gira por españa? que conmemora el bicentenario de la pinacoteca nacional castilla y leon;['el', 'museo', 'del', 'prado', 'cede', 'una', 'obra', 'de', 'rubens', 'al', 'museo', 'de', 'leon', 'dentro', 'del', 'programa', '?', 'de', 'gira', 'por', 'españa', '?', 'que', 'conmemora', 'el', 'bicentenario', 'de', 'la', 'pinacoteca', 'nacional', 'castilla', 'y', 'leon'];['museo', 'prado', 'cede', 'obra', 'rubens', 'museo', 'leon', 'dentro', 'programa', '?de', 'gira', 'españa?', 'conmemora', 'bicentenario', 'pinacoteca', 'nacional', 'castilla', 'leon']
¿sin regalo para el dia del padre? regalale una visita cultural a la pinacoteca universitaria los autonomistas y a la galeria universitaria fernando cano. hoy cerramos a las h, entrada libre.;0.0;0;0;0.0;;0;0;0;0.0;0.0;¿sin regalo para el dia del padre? regalale una visita cultural a la pinacoteca universitaria los autonomistas y a la galeria universitaria fernando cano. hoy cerramos a las h, entrada libre.;['¿sin', 'regalo', 'para', 'el', 'dia', 'del', 'padre', '?', 'regalale', 'una', 'visita', 'cultural', 'a', 'la', 'pinacoteca', 'universitaria', 'los', 'autonomistas', 'y', 'a', 'la', 'galeria', 'universitaria', 'fernando', 'cano', '.', 'hoy', 'cerramos', 'a', 'las', 'h', ',', 'entrada', 'libre', '.'];['¿sin', 'regalo', 'dia', 'padre?', 'regalale', 'visita', 'cultural', 'pinacoteca', 'universitaria', 'autonomistas', 'galeria', 'universitaria', 'fernando', 'cano.', 'hoy', 'cerramos', 'h,', 'entrada', 'libre.']
el cierre temporal del moma tiene como finalidad dar paso a una amplia renovacion de la popular pinacoteca con la que se crearan nuevas galerias y espacios destinados a espectaculos.;0.0;0;1;0.03333333333333333;;0;0;1;0.0;1.0333333333333334;el cierre temporal del moma tiene como finalidad dar paso a una amplia renovacion de la popular pinacoteca con la que se crearan nuevas galerias y espacios destinados a espectaculos.;['el', 'cierre', 'temporal', 'del', 'moma', 'tiene', 'como', 'finalidad', 'dar', 'paso', 'a', 'una', 'amplia', 'renovacion', 'de', 'la', 'popular', 'pinacoteca', 'con', 'la', 'que', 'se', 'crearan', 'nuevas', 'galerias', 'y', 'espacios', 'destinados', 'a', 'espectaculos', '.'];['cierre', 'temporal', 'moma', 'finalidad', 'dar', 'paso', 'amplia', 'renovacion', 'popular', 'pinacoteca', 'crearan', 'nuevas', 'galerias', 'espacios', 'destinados', 'espectaculos.']
relajate tomandote un cafe en nuestro patio rodeado de antiguedades y obras de arte. puedes ver la pinacoteca completa en nuestra web en la pestaña galeria.;0.0;0;0;0.0;;0;0;1;0.0;1.0;relajate tomandote un cafe en nuestro patio rodeado de antiguedades y obras de arte. puedes ver la pinacoteca completa en nuestra web en la pestaña galeria.;['relajate', 'tomandote', 'un', 'cafe', 'en', 'nuestro', 'patio', 'rodeado', 'de', 'antiguedades', 'y', 'obras', 'de', 'arte', '.', 'puedes', 'ver', 'la', 'pinacoteca', 'completa', 'en', 'nuestra', 'web', 'en', 'la', 'pestaña', 'galeria', '.'];['relajate', 'tomandote', 'cafe', 'patio', 'rodeado', 'antiguedades', 'obras', 'arte.', 'puedes', 'ver', 'pinacoteca', 'completa', 'web', 'pestaña', 'galeria.']
que asco de cabron;1.0;0;0;0.0;;0;1;0;0.0;0.0;que asco de cabron;['que', 'asco', 'de', 'cabron'];['asco', 'cabron']
felipe. callate, cabron. ¿con que cara te atreves a hablar sobre construccion de refinerias?;1.0;0;0;0.0;;0;0;1;0.0;1.0;felipe. callate, cabron. ¿con que cara te atreves a hablar sobre construccion de refinerias?;['felipe', '.', 'callate', ',', 'cabron', '.', '¿con', 'que', 'cara', 'te', 'atreves', 'a', 'hablar', 'sobre', 'construccion', 'de', 'refinerias', '?'];['felipe.', 'callate,', 'cabron.', '¿con', 'cara', 'atreves', 'hablar', 'construccion', 'refinerias?']
tu eres tan cabron que los estas jodiendo que pongan el aire mas alto asi nos infectamos estos hijos de puta se tienen que ir a su pais que esto es españa joder dentro de poco esto va a estar lleno de ratas y nos vamos a infectar todos me estan tocando los huevos;1.0;0;0;0.0;;0;2;1;0.0;1.0;tu eres tan cabron que los estas jodiendo que pongan el aire mas alto asi nos infectamos estos hijos de puta se tienen que ir a su pais que esto es españa joder dentro de poco esto va a estar lleno de ratas y nos vamos a infectar todos me estan tocando los huevos;['tu', 'eres', 'tan', 'cabron', 'que', 'los', 'estas', 'jodiendo', 'que', 'pongan', 'el', 'aire', 'mas', 'alto', 'asi', 'nos', 'infectamos', 'estos', 'hijos', 'de', 'puta', 'se', 'tienen', 'que', 'ir', 'a', 'su', 'pais', 'que', 'esto', 'es', 'españa', 'joder', 'dentro', 'de', 'poco', 'esto', 'va', 'a', 'estar', 'lleno', 'de', 'ratas', 'y', 'nos', 'vamos', 'a', 'infectar', 'todos', 'me', 'estan', 'tocando', 'los', 'huevos'];['tan', 'cabron', 'jodiendo', 'pongan', 'aire', 'mas', 'alto', 'asi', 'infectamos', 'hijos', 'puta', 'ir', 'pais', 'españa', 'joder', 'dentro', 'lleno', 'ratas', 'vamos', 'infectar', 'estan', 'tocando', 'huevos']
jajajajaja que cabron;0.0;0;0;0.0;;0;1;0;0.0;0.0;jajajajaja que cabron;['jajajajaja', 'que', 'cabron'];['jajajajaja', 'cabron']
ja ja , cabron 😅;0.0;0;0;0.0;😅;1;1;0;0.17800000000000002;0.0;ja ja , cabron 😅;['ja', 'ja', ',', 'cabron', '😅'];['ja', 'ja', ',', 'cabron', '😅']
hijo de puta, como te atreves a poner ese emoji;1.0;0;9;0.9;;0;0;0;0.0;0.9;hijo de puta, como te atreves a poner ese emoji;['hijo', 'de', 'puta', ',', 'como', 'te', 'atreves', 'a', 'poner', 'ese', 'emoji'];['hijo', 'puta,', 'atreves', 'poner', 'emoji']
cinico hijo de la gran puta.;1.0;0;0;0.0;;0;0;0;0.0;0.0;cinico hijo de la gran puta.;['cinico', 'hijo', 'de', 'la', 'gran', 'puta', '.'];['cinico', 'hijo', 'gran', 'puta.']
mis padres estaban buscando casa y llamo el vendedor de la casa. yo cogi el telefono y empece a insultarte (gilipollas, hijo de puta) sin motivo aparente, era pequeño.y despues mi madre como buena madre gallega me obligo a ir a verlo y disculparme, me queria morir de la verguenza;1.0;0;0;0.0;;0;0;1;0.0;1.0;mis padres estaban buscando casa y llamo el vendedor de la casa. yo cogi el telefono y empece a insultarte (gilipollas, hijo de puta) sin motivo aparente, era pequeño.y despues mi madre como buena madre gallega me obligo a ir a verlo y disculparme, me queria morir de la verguenza;['mis', 'padres', 'estaban', 'buscando', 'casa', 'y', 'llamo', 'el', 'vendedor', 'de', 'la', 'casa', '.', 'yo', 'cogi', 'el', 'telefono', 'y', 'empece', 'a', 'insultarte', '(', 'gilipollas', ',', 'hijo', 'de', 'puta', ')', 'sin', 'motivo', 'aparente', ',', 'era', 'pequeño.y', 'despues', 'mi', 'madre', 'como', 'buena', 'madre', 'gallega', 'me', 'obligo', 'a', 'ir', 'a', 'verlo', 'y', 'disculparme', ',', 'me', 'queria', 'morir', 'de', 'la', 'verguenza'];['padres', 'buscando', 'casa', 'llamo', 'vendedor', 'casa.', 'cogi', 'telefono', 'empece', 'insultarte', '(gilipollas,', 'hijo', 'puta)', 'motivo', 'aparente,', 'pequeño.y', 'despues', 'madre', 'buena', 'madre', 'gallega', 'obligo', 'ir', 'verlo', 'disculparme,', 'queria', 'morir', 'verguenza']
yo creo que hay gente que busca que yo sea un hijo de puta. tengo pruebas eh, porque siempre, juro que siempre que me porto bien me terminan haciendo x cosa para que me ponga en hijo de mil puta. creo que el problema esta en cuando quiero ser buena persona;1.0;0;0;0.0;;0;0;1;0.0;1.0;yo creo que hay gente que busca que yo sea un hijo de puta. tengo pruebas eh, porque siempre, juro que siempre que me porto bien me terminan haciendo x cosa para que me ponga en hijo de mil puta. creo que el problema esta en cuando quiero ser buena persona;['yo', 'creo', 'que', 'hay', 'gente', 'que', 'busca', 'que', 'yo', 'sea', 'un', 'hijo', 'de', 'puta', '.', 'tengo', 'pruebas', 'eh', ',', 'porque', 'siempre', ',', 'juro', 'que', 'siempre', 'que', 'me', 'porto', 'bien', 'me', 'terminan', 'haciendo', 'x', 'cosa', 'para', 'que', 'me', 'ponga', 'en', 'hijo', 'de', 'mil', 'puta', '.', 'creo', 'que', 'el', 'problema', 'esta', 'en', 'cuando', 'quiero', 'ser', 'buena', 'persona'];['creo', 'gente', 'busca', 'hijo', 'puta.', 'pruebas', 'eh,', 'siempre,', 'juro', 'siempre', 'porto', 'terminan', 'haciendo', 'x', 'cosa', 'ponga', 'hijo', 'mil', 'puta.', 'creo', 'problema', 'quiero', 'ser', 'buena', 'persona']
me parece muy de hijo de puta que me diga que este con la novia y me pida vernos, un hijo de puta.;1.0;0;4;0.17391304347826086;;0;1;1;0.0;1.1739130434782608;me parece muy de hijo de puta que me diga que este con la novia y me pida vernos, un hijo de puta.;['me', 'parece', 'muy', 'de', 'hijo', 'de', 'puta', 'que', 'me', 'diga', 'que', 'este', 'con', 'la', 'novia', 'y', 'me', 'pida', 'vernos', ',', 'un', 'hijo', 'de', 'puta', '.'];['parece', 'hijo', 'puta', 'diga', 'novia', 'pida', 'vernos,', 'hijo', 'puta.']
hijo de puta;1.0;0;0;0.0;;0;1;0;0.0;0.0;hijo de puta;['hijo', 'de', 'puta'];['hijo', 'puta']
nos estas amenazando, mierdaseca?;1.0;0;0;0.0;;0;0;1;0.0;1.0;nos estas amenazando, mierdaseca?;['nos', 'estas', 'amenazando', ',', 'mierdaseca', '?'];['amenazando,', 'mierdaseca?']
los niñatos que reniegan de ramos, son los mismos que idolatran al mierdaseca de mourinho, que echaron al mejor portero del mundo, casillas. aficionados se hacen llamar....;1.0;0;1;0.037037037037037035;;0;1;1;0.0;1.037037037037037;los niñatos que reniegan de ramos, son los mismos que idolatran al mierdaseca de mourinho, que echaron al mejor portero del mundo, casillas. aficionados se hacen llamar....;['los', 'niñatos', 'que', 'reniegan', 'de', 'ramos', ',', 'son', 'los', 'mismos', 'que', 'idolatran', 'al', 'mierdaseca', 'de', 'mourinho', ',', 'que', 'echaron', 'al', 'mejor', 'portero', 'del', 'mundo', ',', 'casillas', '.', 'aficionados', 'se', 'hacen', 'llamar', '...', '.'];['niñatos', 'reniegan', 'ramos,', 'mismos', 'idolatran', 'mierdaseca', 'mourinho,', 'echaron', 'mejor', 'portero', 'mundo,', 'casillas.', 'aficionados', 'hacen', 'llamar....']
que valls sera un mierdaseca, que nadie lo discute, pero que esta ofreciendo sus votos gratis chabalada. no he visto todavia a la derecha catalana hacer lo mismo.;1.0;0;2;0.07142857142857142;;0;0;1;0.0;1.0714285714285714;que valls sera un mierdaseca, que nadie lo discute, pero que esta ofreciendo sus votos gratis chabalada. no he visto todavia a la derecha catalana hacer lo mismo.;['que', 'valls', 'sera', 'un', 'mierdaseca', ',', 'que', 'nadie', 'lo', 'discute', ',', 'pero', 'que', 'esta', 'ofreciendo', 'sus', 'votos', 'gratis', 'chabalada', '.', 'no', 'he', 'visto', 'todavia', 'a', 'la', 'derecha', 'catalana', 'hacer', 'lo', 'mismo', '.'];['valls', 'sera', 'mierdaseca,', 'nadie', 'discute,', 'ofreciendo', 'votos', 'gratis', 'chabalada.', 'no', 'visto', 'todavia', 'derecha', 'catalana', 'hacer', 'mismo.']
salia del aeropuerto con mis compañeros y un puto guiri de mierda ha dicho low cost airline, low cost... y luego algo que no he oido bien y se han reido pero estoy segura de que se referia a que nosotros eramos baratos y de verdad,ojala se tire por un balcon el muy mierdaseca;1.0;0;0;0.0;;0;2;1;0.0;1.0;salia del aeropuerto con mis compañeros y un puto guiri de mierda ha dicho low cost airline, low cost... y luego algo que no he oido bien y se han reido pero estoy segura de que se referia a que nosotros eramos baratos y de verdad,ojala se tire por un balcon el muy mierdaseca;['salia', 'del', 'aeropuerto', 'con', 'mis', 'compañeros', 'y', 'un', 'puto', 'guiri', 'de', 'mierda', 'ha', 'dicho', 'low', 'cost', 'airline', ',', 'low', 'cost', '...', 'y', 'luego', 'algo', 'que', 'no', 'he', 'oido', 'bien', 'y', 'se', 'han', 'reido', 'pero', 'estoy', 'segura', 'de', 'que', 'se', 'referia', 'a', 'que', 'nosotros', 'eramos', 'baratos', 'y', 'de', 'verdad', ',', 'ojala', 'se', 'tire', 'por', 'un', 'balcon', 'el', 'muy', 'mierdaseca'];['salia', 'aeropuerto', 'compañeros', 'puto', 'guiri', 'mierda', 'dicho', 'low', 'cost', 'airline,', 'low', 'cost...', 'luego', 'no', 'oido', 'reido', 'segura', 'referia', 'eramos', 'baratos', 'verdad,ojala', 'tire', 'balcon', 'mierdaseca']
que te pires mierdaseca!;1.0;1;0;0.0;;0;0;1;0.0;2.0;que te pires mierdaseca!;['que', 'te', 'pires', 'mierdaseca', '!'];['pires', 'mierdaseca!']
monedero, te ha devorado el personaje. eres un mierdaseca.;1.0;0;0;0.0;;0;0;1;0.0;1.0;monedero, te ha devorado el personaje. eres un mierdaseca.;['monedero', ',', 'te', 'ha', 'devorado', 'el', 'personaje', '.', 'eres', 'un', 'mierdaseca', '.'];['monedero,', 'devorado', 'personaje.', 'mierdaseca.']
no se puede ser mas bocachancla...;1.0;0;0;0.0;;0;0;0;0.0;0.0;no se puede ser mas bocachancla...;['no', 'se', 'puede', 'ser', 'mas', 'bocachancla', '...'];['no', 'puede', 'ser', 'mas', 'bocachancla...']
yo flipo, con lo bocachancla q puede ser la gente...;1.0;0;0;0.0;;0;1;0;0.0;0.0;yo flipo, con lo bocachancla q puede ser la gente...;['yo', 'flipo', ',', 'con', 'lo', 'bocachancla', 'q', 'puede', 'ser', 'la', 'gente', '...'];['flipo,', 'bocachancla', 'q', 'puede', 'ser', 'gente...']
ningun bocachancla sin captura.;1.0;0;0;0.0;;0;1;0;0.0;0.0;ningun bocachancla sin captura.;['ningun', 'bocachancla', 'sin', 'captura', '.'];['ningun', 'bocachancla', 'captura.']
pero si no ganasteis vuestro psrtido bocachancla;1.0;0;0;0.0;;0;1;1;0.0;1.0;pero si no ganasteis vuestro psrtido bocachancla;['pero', 'si', 'no', 'ganasteis', 'vuestro', 'psrtido', 'bocachancla'];['no', 'ganasteis', 'psrtido', 'bocachancla']
el bocachancla tiene implantada en la personalidad la prepotencia por defecto...;1.0;0;0;0.0;;0;1;1;0.0;1.0;el bocachancla tiene implantada en la personalidad la prepotencia por defecto...;['el', 'bocachancla', 'tiene', 'implantada', 'en', 'la', 'personalidad', 'la', 'prepotencia', 'por', 'defecto', '...'];['bocachancla', 'implantada', 'personalidad', 'prepotencia', 'defecto...']
populismo? populismo eres tu, bocachancla;1.0;0;0;0.0;;0;1;1;0.0;1.0;populismo? populismo eres tu, bocachancla;['populismo', '?', 'populismo', 'eres', 'tu', ',', 'bocachancla'];['populismo?', 'populismo', 'tu,', 'bocachancla']
callate bocachancla, no hace falta que digas tonterias que tos sabemos;1.0;0;0;0.0;;0;0;0;0.0;0.0;callate bocachancla, no hace falta que digas tonterias que tos sabemos;['callate', 'bocachancla', ',', 'no', 'hace', 'falta', 'que', 'digas', 'tonterias', 'que', 'tos', 'sabemos'];['callate', 'bocachancla,', 'no', 'hace', 'falta', 'digas', 'tonterias', 'tos', 'sabemos']
que diferencia con el borbon abrazafarolas, eh!?;1.0;1;0;0.0;;0;0;0;0.0;1.0;que diferencia con el borbon abrazafarolas, eh!?;['que', 'diferencia', 'con', 'el', 'borbon', 'abrazafarolas', ',', 'eh', '!', '?'];['diferencia', 'borbon', 'abrazafarolas,', 'eh!?']
pero si will es el genio, abrazafarolas;1.0;0;0;0.0;;0;1;1;0.0;1.0;pero si will es el genio, abrazafarolas;['pero', 'si', 'will', 'es', 'el', 'genio', ',', 'abrazafarolas'];['will', 'genio,', 'abrazafarolas']
eres un abrazafarolas.;1.0;0;0;0.0;;0;0;1;0.0;1.0;eres un abrazafarolas.;['eres', 'un', 'abrazafarolas', '.'];['abrazafarolas.']
el impoluto, segun el porcino abrazafarolas de 🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣;1.0;0;0;0.0;🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣;13;1;0;0.0;0.0;el impoluto, segun el porcino abrazafarolas de 🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣 🐷 🤣;['el', 'impoluto', ',', 'segun', 'el', 'porcino', 'abrazafarolas', 'de', '🤣', '🐷', '🤣', '🐷', '🤣', '🐷', '🤣', '🐷', '🤣', '🐷', '🤣', '🐷', '🤣'];['impoluto,', 'segun', 'porcino', 'abrazafarolas', '🤣', '🐷', '🤣', '🐷', '🤣', '🐷', '🤣', '🐷', '🤣', '🐷', '🤣', '🐷', '🤣']
no te me pongas asi abrazafarolas;1.0;0;0;0.0;;0;1;0;0.0;0.0;no te me pongas asi abrazafarolas;['no', 'te', 'me', 'pongas', 'asi', 'abrazafarolas'];['no', 'pongas', 'asi', 'abrazafarolas']
madre mia la cantidad de abrazafarolas que se tragan tus bulos.;1.0;0;0;0.0;;0;1;0;0.0;0.0;madre mia la cantidad de abrazafarolas que se tragan tus bulos.;['madre', 'mia', 'la', 'cantidad', 'de', 'abrazafarolas', 'que', 'se', 'tragan', 'tus', 'bulos', '.'];['madre', 'mia', 'cantidad', 'abrazafarolas', 'tragan', 'bulos.']
gilipollas, subnormal, melon, retrasado, imbecil, tonto, malparido, payaso, chupacables, retrasado, hijo de puta, cabronazo, mierdaseca, capullo, y porque no se me ocurren mas que si no estaba asi todo el dia pedazo mamon.;1.0;0;0;0.0;;0;0;1;0.0;1.0;gilipollas, subnormal, melon, retrasado, imbecil, tonto, malparido, payaso, chupacables, retrasado, hijo de puta, cabronazo, mierdaseca, capullo, y porque no se me ocurren mas que si no estaba asi todo el dia pedazo mamon.;['gilipollas', ',', 'subnormal', ',', 'melon', ',', 'retrasado', ',', 'imbecil', ',', 'tonto', ',', 'malparido', ',', 'payaso', ',', 'chupacables', ',', 'retrasado', ',', 'hijo', 'de', 'puta', ',', 'cabronazo', ',', 'mierdaseca', ',', 'capullo', ',', 'y', 'porque', 'no', 'se', 'me', 'ocurren', 'mas', 'que', 'si', 'no', 'estaba', 'asi', 'todo', 'el', 'dia', 'pedazo', 'mamon', '.'];['gilipollas,', 'subnormal,', 'melon,', 'retrasado,', 'imbecil,', 'tonto,', 'malparido,', 'payaso,', 'chupacables,', 'retrasado,', 'hijo', 'puta,', 'cabronazo,', 'mierdaseca,', 'capullo,', 'no', 'ocurren', 'mas', 'no', 'asi', 'dia', 'pedazo', 'mamon.']
o porque eres un cuerpoescombro, que puede ser hasta peor.;1.0;0;0;0.0;;0;0;1;0.0;1.0;o porque eres un cuerpoescombro, que puede ser hasta peor.;['o', 'porque', 'eres', 'un', 'cuerpoescombro', ',', 'que', 'puede', 'ser', 'hasta', 'peor', '.'];['cuerpoescombro,', 'puede', 'ser', 'peor.']
soy yo o el rey se esta volviendo un cuerpoescombro? bienvenido al club su atleza.;1.0;0;0;0.0;;0;0;1;0.0;1.0;soy yo o el rey se esta volviendo un cuerpoescombro? bienvenido al club su atleza.;['soy', 'yo', 'o', 'el', 'rey', 'se', 'esta', 'volviendo', 'un', 'cuerpoescombro', '?', 'bienvenido', 'al', 'club', 'su', 'atleza', '.'];['rey', 'volviendo', 'cuerpoescombro?', 'bienvenido', 'club', 'atleza.']
que dice el cuerpoescombro este?;1.0;0;0;0.0;;0;1;1;0.0;1.0;que dice el cuerpoescombro este?;['que', 'dice', 'el', 'cuerpoescombro', 'este', '?'];['dice', 'cuerpoescombro', 'este?']
panoramica a ojos del cuerpoescombro....;1.0;0;0;0.0;;0;0;1;0.0;1.0;panoramica a ojos del cuerpoescombro....;['panoramica', 'a', 'ojos', 'del', 'cuerpoescombro', '...', '.'];['panoramica', 'ojos', 'cuerpoescombro....']
virgen jajaja tanto tiempo llevas aguantando al cuerpoescombro este?;1.0;0;0;0.0;;0;1;1;0.0;1.0;virgen jajaja tanto tiempo llevas aguantando al cuerpoescombro este?;['virgen', 'jajaja', 'tanto', 'tiempo', 'llevas', 'aguantando', 'al', 'cuerpoescombro', 'este', '?'];['virgen', 'jajaja', 'tiempo', 'llevas', 'aguantando', 'cuerpoescombro', 'este?']
